owl2dl_profile_violation,annotation_property_count,obj_property_count_incl,tboxrbox_size_incl,signature_size,owl2_rl,reasoner_jar,indiv_count,axiom_types_incl,rule_ct_incl,anno_ct,experiment_version,tbox_nominals,filepath,AL,datatypes_count_incl,experiment_date,owl2,signature_size_incl,ax_complexrhs_ct,owl2_ql,param_ontfile,param_reasoner,avg_size_complexrhs,logical_axiom_count,filename,owl2_el,class_count,logical_axiom_count_incl,peak_memory_usage,jar_name,avg_size_complexrhs_incl,dt_builtin_ct,dataproperty_count_incl,dt_notbuiltin_ct,reasoner_class,rdfs,abox_nominals_incl,filesize,owlapi_version,obj_property_count,valid_imports,constructs,dt_builtin_ct_incl,rbox_size,tbox_nominals_incl,ax_complexrhs_ct_incl,dataproperty_count,abox_size_incl,indiv_count_incl,tbox_size,owl2_dl,rbox_size_incl,rule_ct,reasoner,tboxrbox_size,axiom_type_count,tbox_size_incl,abox_nominals,experiment_runid,datatypes_count,experiment_id,axiom_types,axiom_type_count_incl,dt_notbuiltin_ct_incl,class_count_incl,constructs_incl,reasoner_timeout,abox_size,inf_hier_directory,fixed_profile_violations
,0,54,658,482,0,metrics.jar,21,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SubPropertyChainOf DataPropertyRange SubClassOf ObjectPropertyRange ClassAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties DifferentIndividuals IrrefexiveObjectProperty ObjectPropertyAssertion ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,ALCI,3,2017/3/31 10:02,1,482,131,0,/home/zeus/experiments/bpdownload/repo/owlxml/cogpo.cognitive-paradigm-ontology.1.owl.xml,hermit,1.244274809,687,cogpo.cognitive-paradigm-ontology.1.owl.xml,0,400,687,280772504,metrics.jar,1.244274809,3,4,0,ReasonerFactory,0,0,205641,metrics.jar,54,,R S D I N O ,3,52,1,131,4,29,21,606,1,52,0,,658,EquivalentClasses:8 TransitiveObjectProperty:4 FunctionalObjectProperty:3 SubObjectPropertyOf:27 SubPropertyChainOf:2 DataPropertyRange:4 SubClassOf:512 ObjectPropertyRange:25 ClassAssertion:25 ObjectPropertyDomain:25 DisjointClasses:21 DataPropertyDomain:4 Declaration:478 FunctionalDataProperty:4 InverseObjectProperties:18 DifferentIndividuals:2 IrrefexiveObjectProperty:1 ObjectPropertyAssertion:2 ,606,0,2.76211E+15,3,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SubPropertyChainOf DataPropertyRange SubClassOf ObjectPropertyRange ClassAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties DifferentIndividuals IrrefexiveObjectProperty ObjectPropertyAssertion ,EquivalentClasses:8 TransitiveObjectProperty:4 FunctionalObjectProperty:3 SubObjectPropertyOf:27 SubPropertyChainOf:2 DataPropertyRange:4 SubClassOf:512 ObjectPropertyRange:25 ClassAssertion:25 ObjectPropertyDomain:25 DisjointClasses:21 DataPropertyDomain:4 Declaration:478 FunctionalDataProperty:4 InverseObjectProperties:18 DifferentIndividuals:2 IrrefexiveObjectProperty:1 ObjectPropertyAssertion:2 ,0,400,R S D I N O ,20000000,29,null,
,0,5,73,71,1,metrics.jar,0,TransitiveObjectProperty ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration SubClassOf ObjectPropertyRange ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCI,0,2017/3/31 10:02,1,71,0,0,/home/zeus/experiments/bpdownload/repo/owlxml/comodi.comodi.5.owl.xml,hermit,NaN,73,comodi.comodi.5.owl.xml,1,64,73,235800552,metrics.jar,NaN,0,2,0,ReasonerFactory,0,0,14649,metrics.jar,5,,S D ,0,1,0,0,2,0,0,72,1,1,0,,73,TransitiveObjectProperty:1 ObjectPropertyDomain:5 DisjointClasses:1 DataPropertyDomain:2 Declaration:71 SubClassOf:59 ObjectPropertyRange:5 ,72,0,2.76212E+15,0,OntologyMetricsGathering,TransitiveObjectProperty ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration SubClassOf ObjectPropertyRange ,TransitiveObjectProperty:1 ObjectPropertyDomain:5 DisjointClasses:1 DataPropertyDomain:2 Declaration:71 SubClassOf:59 ObjectPropertyRange:5 ,0,64,S D ,20000000,0,null,
,0,342,1118,450,1,metrics.jar,0,ObjectPropertyDomain DisjointClasses DataPropertyRange DataPropertyDomain Declaration FunctionalDataProperty ObjectPropertyRange ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCI,1,2017/3/31 10:02,1,450,0,0,/home/zeus/experiments/bpdownload/repo/owlxml/cptac.cptac-proteomics-pipeline-infrastructure-ontology.3.owl.xml,hermit,NaN,1118,cptac.cptac-proteomics-pipeline-infrastructure-ontology.3.owl.xml,1,19,1118,323130192,metrics.jar,NaN,1,88,0,ReasonerFactory,0,0,205926,metrics.jar,342,,C D F AL ,1,0,0,0,88,0,0,1118,1,0,0,,1118,ObjectPropertyDomain:342 DisjointClasses:171 DataPropertyRange:88 DataPropertyDomain:88 Declaration:449 FunctionalDataProperty:87 ObjectPropertyRange:342 ,1118,0,2.76212E+15,1,OntologyMetricsGathering,ObjectPropertyDomain DisjointClasses DataPropertyRange DataPropertyDomain Declaration FunctionalDataProperty ObjectPropertyRange ,ObjectPropertyDomain:342 DisjointClasses:171 DataPropertyRange:88 DataPropertyDomain:88 Declaration:449 FunctionalDataProperty:87 ObjectPropertyRange:342 ,0,19,C D F AL ,20000000,0,null,
,0,27,26540,20116,0,metrics.jar,0,TransitiveObjectProperty EquivalentClasses ReflexiveObjectProperty ObjectPropertyDomain DisjointClasses Declaration SubClassOf InverseObjectProperties ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCI,2,2017/3/31 10:02,1,20116,103,0,/home/zeus/experiments/bpdownload/repo/owlxml/cseo.cigarette-smoke-exposure-ontology.2.owl.xml,hermit,1,26540,cseo.cigarette-smoke-exposure-ontology.2.owl.xml,0,20085,26540,540056760,metrics.jar,1,2,2,0,ReasonerFactory,0,0,8631288,metrics.jar,27,,R S D I ,2,5,0,103,2,0,0,26535,1,5,0,,26540,TransitiveObjectProperty:2 EquivalentClasses:41 ReflexiveObjectProperty:2 ObjectPropertyDomain:3 DisjointClasses:44 Declaration:20114 SubClassOf:26447 InverseObjectProperties:1 ,26535,0,2.76212E+15,2,OntologyMetricsGathering,TransitiveObjectProperty EquivalentClasses ReflexiveObjectProperty ObjectPropertyDomain DisjointClasses Declaration SubClassOf InverseObjectProperties ,TransitiveObjectProperty:2 EquivalentClasses:41 ReflexiveObjectProperty:2 ObjectPropertyDomain:3 DisjointClasses:44 Declaration:20114 SubClassOf:26447 InverseObjectProperties:1 ,0,20085,R S D I ,20000000,0,null,
,0,0,36,37,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCI,0,2017/3/31 10:02,1,37,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/cso.clinical-study-ontology.1.owl.xml,hermit,NaN,36,cso.clinical-study-ontology.1.owl.xml,1,37,36,235189168,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,11988,metrics.jar,0,,AL ,0,0,0,0,0,0,0,36,1,0,0,,36,Declaration:37 SubClassOf:36 ,36,0,2.76212E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:37 SubClassOf:36 ,0,37,AL ,20000000,0,null,
,0,0,303,303,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL(D),0,2017/3/31 10:02,1,303,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/csso.clinical-signs-and-symptoms-ontology.6.owl.xml,hermit,NaN,303,csso.clinical-signs-and-symptoms-ontology.6.owl.xml,1,303,303,236230144,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,54454,metrics.jar,0,,AL ,0,0,0,0,0,0,0,303,1,0,0,,303,Declaration:303 SubClassOf:303 ,303,0,2.76213E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:303 SubClassOf:303 ,0,303,AL ,20000000,0,null,
,0,3,6934,3884,1,metrics.jar,0,ObjectPropertyDomain DataPropertyDomain DataPropertyRange Declaration SubClassOf ObjectPropertyRange ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL(D),1,2017/3/31 10:02,1,3884,3049,0,/home/zeus/experiments/bpdownload/repo/owlxml/ctcae.common-terminology-criteria-for-adverse-events.2.owl.xml,hermit,1,6934,ctcae.common-terminology-criteria-for-adverse-events.2.owl.xml,0,3876,6934,625368080,metrics.jar,1,1,4,0,ReasonerFactory,0,0,1603829,metrics.jar,3,,D AL ,1,0,0,3049,4,0,0,6934,1,0,0,,6934,ObjectPropertyDomain:3 DataPropertyDomain:4 DataPropertyRange:4 Declaration:3883 SubClassOf:6922 ObjectPropertyRange:1 ,6934,0,2.76213E+15,1,OntologyMetricsGathering,ObjectPropertyDomain DataPropertyDomain DataPropertyRange Declaration SubClassOf ObjectPropertyRange ,ObjectPropertyDomain:3 DataPropertyDomain:4 DataPropertyRange:4 Declaration:3883 SubClassOf:6922 ObjectPropertyRange:1 ,0,3876,D AL ,20000000,0,null,
,0,0,376,377,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL(D),0,2017/3/31 10:02,1,377,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/cto.clinical-trials-ontology.1.owl.xml,hermit,NaN,376,cto.clinical-trials-ontology.1.owl.xml,1,377,376,236092216,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,146542,metrics.jar,0,,AL ,0,0,0,0,0,0,0,376,1,0,0,,376,Declaration:377 SubClassOf:376 ,376,0,2.76213E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:377 SubClassOf:376 ,0,377,AL ,20000000,0,null,
,0,5,34,7353,0,metrics.jar,7321,DataPropertyAssertion EquivalentClasses ObjectPropertyDomain DisjointClasses DataPropertyDomain DataPropertyRange Declaration ClassAssertion SubClassOf ObjectPropertyRange InverseObjectProperties ObjectPropertyAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL(D),2,2017/3/31 10:02,1,7353,5,0,/home/zeus/experiments/bpdownload/repo/owlxml/cu-vo.venom-ontology.1.owl.xml,hermit,1,70731,cu-vo.venom-ontology.1.owl.xml,0,11,70731,2201442136,metrics.jar,1,2,14,0,ReasonerFactory,0,0,18202620,metrics.jar,5,,Q C D I AL ,2,2,0,5,14,70697,7321,32,1,2,0,,34,DataPropertyAssertion:49965 EquivalentClasses:5 ObjectPropertyDomain:5 DisjointClasses:5 DataPropertyDomain:3 DataPropertyRange:1 Declaration:7351 ClassAssertion:7320 SubClassOf:9 ObjectPropertyRange:4 InverseObjectProperties:2 ObjectPropertyAssertion:13412 ,32,0,2.76213E+15,2,OntologyMetricsGathering,DataPropertyAssertion EquivalentClasses ObjectPropertyDomain DisjointClasses DataPropertyDomain DataPropertyRange Declaration ClassAssertion SubClassOf ObjectPropertyRange InverseObjectProperties ObjectPropertyAssertion ,DataPropertyAssertion:49965 EquivalentClasses:5 ObjectPropertyDomain:5 DisjointClasses:5 DataPropertyDomain:3 DataPropertyRange:1 Declaration:7351 ClassAssertion:7320 SubClassOf:9 ObjectPropertyRange:4 InverseObjectProperties:2 ObjectPropertyAssertion:13412 ,0,11,Q C D I AL ,20000000,70697,null,
,0,0,317,320,0,metrics.jar,1,DataPropertyAssertion DataPropertyDomain DataPropertyRange Declaration SubClassOf ClassAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL(D),1,2017/3/31 10:02,1,320,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/cyto.cytokine.27.owl.xml,hermit,NaN,319,cyto.cytokine.27.owl.xml,1,317,319,236376672,metrics.jar,NaN,1,1,0,ReasonerFactory,1,0,86320,metrics.jar,0,,D AL ,1,0,0,0,1,2,1,317,1,0,0,,317,DataPropertyAssertion:1 DataPropertyDomain:1 DataPropertyRange:1 Declaration:318 SubClassOf:315 ClassAssertion:1 ,317,0,2.76214E+15,1,OntologyMetricsGathering,DataPropertyAssertion DataPropertyDomain DataPropertyRange Declaration SubClassOf ClassAssertion ,DataPropertyAssertion:1 DataPropertyDomain:1 DataPropertyRange:1 Declaration:318 SubClassOf:315 ClassAssertion:1 ,0,317,D AL ,20000000,2,null,
,0,0,0,36,1,metrics.jar,26,Declaration ClassAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL(D),0,2017/3/31 10:02,1,36,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/dc.dublin-core.3.owl.xml,hermit,NaN,30,dc.dublin-core.3.owl.xml,1,10,30,235377048,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,9582,metrics.jar,0,,AL ,0,0,0,0,0,30,26,0,1,0,0,,0,Declaration:36 ClassAssertion:30 ,0,0,2.76214E+15,0,OntologyMetricsGathering,Declaration ClassAssertion ,Declaration:36 ClassAssertion:30 ,0,10,AL ,20000000,30,null,
UseOfReservedVocabularyForClassIRI:1 ,0,17,42,3647,0,metrics.jar,3623,DataPropertyAssertion TransitiveObjectProperty FunctionalObjectProperty SameIndividual ObjectPropertyDomain SubObjectPropertyOf DisjointClasses SymmetricObjectProperty Declaration InverseObjectProperties ObjectPropertyRange SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL+,1,2017/3/31 10:02,1,3647,0,0,/home/zeus/experiments/bpdownload/repo/owlxml/dcm.dicom-controlled-terminology.9.owl.xml,hermit,NaN,3687,dcm.dicom-controlled-terminology.9.owl.xml,0,5,3687,668420960,metrics.jar,NaN,1,1,0,ReasonerFactory,0,0,1230161,metrics.jar,17,,S D F H I O ,1,26,0,0,1,3645,3623,16,0,26,0,,42,DataPropertyAssertion:3516 TransitiveObjectProperty:3 FunctionalObjectProperty:1 SameIndividual:129 ObjectPropertyDomain:5 SubObjectPropertyOf:15 DisjointClasses:3 SymmetricObjectProperty:4 Declaration:3646 InverseObjectProperties:4 ObjectPropertyRange:6 SubClassOf:1 ,16,0,2.76214E+15,1,OntologyMetricsGathering,DataPropertyAssertion TransitiveObjectProperty FunctionalObjectProperty SameIndividual ObjectPropertyDomain SubObjectPropertyOf DisjointClasses SymmetricObjectProperty Declaration InverseObjectProperties ObjectPropertyRange SubClassOf ,DataPropertyAssertion:3516 TransitiveObjectProperty:3 FunctionalObjectProperty:1 SameIndividual:129 ObjectPropertyDomain:5 SubObjectPropertyOf:15 DisjointClasses:3 SymmetricObjectProperty:4 Declaration:3646 InverseObjectProperties:4 ObjectPropertyRange:6 SubClassOf:1 ,0,5,S D F H I O ,20000000,3645,null,
,0,0,2,18,1,metrics.jar,13,Declaration ClassAssertion SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL+,0,2017/3/31 10:03,1,18,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/dcmitype.dcmi-type-vocabulary.1.owl.xml,hermit,NaN,15,dcmitype.dcmi-type-vocabulary.1.owl.xml,1,5,15,235442112,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,5278,metrics.jar,0,,AL ,0,0,0,0,0,13,13,2,1,0,0,,2,Declaration:18 ClassAssertion:13 SubClassOf:2 ,2,0,2.76214E+15,0,OntologyMetricsGathering,Declaration ClassAssertion SubClassOf ,Declaration:18 ClassAssertion:13 SubClassOf:2 ,0,5,AL ,20000000,13,null,
,0,100,2537,1852,0,metrics.jar,0,EquivalentClasses TransitiveObjectProperty SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf SymmetricObjectProperty DataPropertyRange SubClassOf ObjectPropertyRange ObjectPropertyDomain DisjointClasses Declaration FunctionalDataProperty InverseObjectProperties ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,4,2017/3/31 10:03,1,1852,659,0,/home/zeus/experiments/bpdownload/repo/owlxml/dco-debugit.debugit-core-ontology.1.owl.xml,hermit,2.096969697,2537,dco-debugit.debugit-core-ontology.1.owl.xml,0,1737,2537,410370456,metrics.jar,2.096969697,4,11,0,ReasonerFactory,0,0,772246,metrics.jar,100,,R S D I N ,4,100,0,659,11,0,0,2437,1,100,0,,2537,EquivalentClasses:197 TransitiveObjectProperty:10 SubObjectPropertyOf:50 SubPropertyChainOf:2 SubDataPropertyOf:7 SymmetricObjectProperty:9 DataPropertyRange:8 SubClassOf:2099 ObjectPropertyRange:23 ObjectPropertyDomain:24 DisjointClasses:80 Declaration:1844 FunctionalDataProperty:6 InverseObjectProperties:22 ,2437,0,2.76214E+15,4,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf SymmetricObjectProperty DataPropertyRange SubClassOf ObjectPropertyRange ObjectPropertyDomain DisjointClasses Declaration FunctionalDataProperty InverseObjectProperties ,EquivalentClasses:197 TransitiveObjectProperty:10 SubObjectPropertyOf:50 SubPropertyChainOf:2 SubDataPropertyOf:7 SymmetricObjectProperty:9 DataPropertyRange:8 SubClassOf:2099 ObjectPropertyRange:23 ObjectPropertyDomain:24 DisjointClasses:80 Declaration:1844 FunctionalDataProperty:6 InverseObjectProperties:22 ,0,1737,R S D I N ,20000000,0,null,
,0,2,351,132,0,metrics.jar,0,TransitiveObjectProperty Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,0,2017/3/31 10:03,1,132,221,0,/home/zeus/experiments/bpdownload/repo/owlxml/ddanat.dictyostelium-discoideum-anatomy-ontology.16.owl.xml,hermit,1,351,ddanat.dictyostelium-discoideum-anatomy-ontology.16.owl.xml,1,130,351,236569784,metrics.jar,1,0,0,0,ReasonerFactory,0,0,109009,metrics.jar,2,,E AL TRAN ,0,1,0,221,0,0,0,350,1,1,0,,351,TransitiveObjectProperty:1 Declaration:132 SubClassOf:350 ,350,0,2.76214E+15,0,OntologyMetricsGathering,TransitiveObjectProperty Declaration SubClassOf ,TransitiveObjectProperty:1 Declaration:132 SubClassOf:350 ,0,130,E AL TRAN ,20000000,0,null,
,0,42,6955,6514,0,metrics.jar,18,EquivalentClasses FunctionalObjectProperty SubObjectPropertyOf DataPropertyRange SubClassOf ObjectPropertyRange ClassAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties DifferentIndividuals ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,4,2017/3/31 10:03,1,6514,14,0,/home/zeus/experiments/bpdownload/repo/owlxml/ddo.diabetes-mellitus-diagnosis-ontology.3.owl.xml,hermit,1,6975,ddo.diabetes-mellitus-diagnosis-ontology.3.owl.xml,0,6444,6975,324339240,metrics.jar,1,4,6,0,ReasonerFactory,0,0,1253145,metrics.jar,42,,C D F H I AL O ,4,26,1,14,6,20,18,6929,1,26,0,,6955,EquivalentClasses:4 FunctionalObjectProperty:9 SubObjectPropertyOf:15 DataPropertyRange:6 SubClassOf:6821 ObjectPropertyRange:23 ClassAssertion:18 ObjectPropertyDomain:24 DisjointClasses:19 DataPropertyDomain:21 Declaration:6510 FunctionalDataProperty:2 InverseObjectProperties:11 DifferentIndividuals:2 ,6929,0,2.76214E+15,4,OntologyMetricsGathering,EquivalentClasses FunctionalObjectProperty SubObjectPropertyOf DataPropertyRange SubClassOf ObjectPropertyRange ClassAssertion ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties DifferentIndividuals ,EquivalentClasses:4 FunctionalObjectProperty:9 SubObjectPropertyOf:15 DataPropertyRange:6 SubClassOf:6821 ObjectPropertyRange:23 ClassAssertion:18 ObjectPropertyDomain:24 DisjointClasses:19 DataPropertyDomain:21 Declaration:6510 FunctionalDataProperty:2 InverseObjectProperties:11 DifferentIndividuals:2 ,0,6444,C D F H I AL O ,20000000,20,null,
UseOfReservedVocabularyForClassIRI:3 ,0,3,6151,12227,0,metrics.jar,6101,DataPropertyAssertion FunctionalObjectProperty ObjectPropertyDomain DataPropertyDomain DataPropertyRange Declaration FunctionalDataProperty SubClassOf ClassAssertion ObjectPropertyAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,2,2017/3/31 10:03,1,12227,0,0,/home/zeus/experiments/bpdownload/repo/owlxml/dermlex.dermatology-lexicon.4.owl.xml,hermit,NaN,24452,dermlex.dermatology-lexicon.4.owl.xml,0,6106,24452,1399700704,metrics.jar,NaN,2,15,0,ReasonerFactory,0,0,4983153,metrics.jar,3,,D U F AL ,2,0,0,0,15,18301,6101,6151,0,0,0,,6151,DataPropertyAssertion:6101 FunctionalObjectProperty:2 ObjectPropertyDomain:3 DataPropertyDomain:14 DataPropertyRange:14 Declaration:12225 FunctionalDataProperty:15 SubClassOf:6103 ClassAssertion:6101 ObjectPropertyAssertion:6099 ,6151,0,2.76215E+15,2,OntologyMetricsGathering,DataPropertyAssertion FunctionalObjectProperty ObjectPropertyDomain DataPropertyDomain DataPropertyRange Declaration FunctionalDataProperty SubClassOf ClassAssertion ObjectPropertyAssertion ,DataPropertyAssertion:6101 FunctionalObjectProperty:2 ObjectPropertyDomain:3 DataPropertyDomain:14 DataPropertyRange:14 Declaration:12225 FunctionalDataProperty:15 SubClassOf:6103 ClassAssertion:6101 ObjectPropertyAssertion:6099 ,0,6106,D U F AL ,20000000,18301,null,
,0,4,3993,3405,0,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,0,2017/3/31 10:03,1,3405,176,1,/home/zeus/experiments/bpdownload/repo/owlxml/dermo.human-dermatological-disease-ontology.10.owl.xml,hermit,1,3993,dermo.human-dermatological-disease-ontology.10.owl.xml,1,3401,3993,236960360,metrics.jar,1,0,0,0,ReasonerFactory,0,0,1068219,metrics.jar,4,,E AL ,0,0,0,176,0,0,0,3993,1,0,0,,3993,Declaration:3405 SubClassOf:3993 ,3993,0,2.76215E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:3405 SubClassOf:3993 ,0,3401,E AL ,20000000,0,null,
,0,3,1788,378,0,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,0,2017/3/31 10:03,1,378,1416,1,/home/zeus/experiments/bpdownload/repo/owlxml/diab.biomedbridges-diabetes-ontology.73.owl.xml,hermit,1,1788,diab.biomedbridges-diabetes-ontology.73.owl.xml,1,375,1788,365661376,metrics.jar,1,0,0,0,ReasonerFactory,0,0,517868,metrics.jar,3,,E AL ,0,0,0,1416,0,0,0,1788,1,0,0,,1788,Declaration:378 SubClassOf:1788 ,1788,0,2.76215E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:378 SubClassOf:1788 ,0,375,E AL ,20000000,0,null,
,0,4,245,114,0,metrics.jar,6,FunctionalObjectProperty ObjectPropertyDomain DisjointClasses DataPropertyDomain DataPropertyRange Declaration FunctionalDataProperty SubClassOf ClassAssertion DifferentIndividuals ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,3,2017/3/31 10:03,1,114,16,0,/home/zeus/experiments/bpdownload/repo/owlxml/diagont.diagnostic-ontology.1.owl.xml,hermit,1,252,diagont.diagnostic-ontology.1.owl.xml,0,96,252,236417016,metrics.jar,1,2,5,1,ReasonerFactory,0,0,42150,metrics.jar,4,,C D F AL O ,2,0,0,16,5,7,6,245,1,0,0,,245,FunctionalObjectProperty:1 ObjectPropertyDomain:1 DisjointClasses:121 DataPropertyDomain:4 DataPropertyRange:5 Declaration:112 FunctionalDataProperty:2 SubClassOf:111 ClassAssertion:6 DifferentIndividuals:1 ,245,0,2.76216E+15,3,OntologyMetricsGathering,FunctionalObjectProperty ObjectPropertyDomain DisjointClasses DataPropertyDomain DataPropertyRange Declaration FunctionalDataProperty SubClassOf ClassAssertion DifferentIndividuals ,FunctionalObjectProperty:1 ObjectPropertyDomain:1 DisjointClasses:121 DataPropertyDomain:4 DataPropertyRange:5 Declaration:112 FunctionalDataProperty:2 SubClassOf:111 ClassAssertion:6 DifferentIndividuals:1 ,1,96,C D F AL O ,20000000,7,null,
UseOfNonSimplePropertyInAsymmetricObjectPropertyAxiom:2 UseOfNonSimplePropertyInIrreflexivePropertyAxiom:2 ,0,98,1047,617,0,metrics.jar,20,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf DataPropertyRange SubClassOf ClassAssertion ObjectPropertyRange AsymmetricObjectProperty EquivalentObjectProperties ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties DifferentIndividuals IrrefexiveObjectProperty ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,ALCF,4,2017/3/31 10:03,1,617,173,0,/home/zeus/experiments/bpdownload/repo/owlxml/dideo.the-potential-drug-drug-interaction-and-potential-drug-drug-interaction-evidence-ontology.41.owl.xml,hermit,4.699421965,1072,dideo.the-potential-drug-drug-interaction-and-potential-drug-drug-interaction-evidence-ontology.41.owl.xml,0,489,1072,324178448,metrics.jar,4.699421965,4,6,0,ReasonerFactory,0,0,424961,metrics.jar,98,,Q R S D I O ,4,289,1,173,6,25,20,758,0,289,0,,1047,EquivalentClasses:66 TransitiveObjectProperty:6 FunctionalObjectProperty:3 SubObjectPropertyOf:114 SubPropertyChainOf:11 SubDataPropertyOf:4 DataPropertyRange:5 SubClassOf:595 ClassAssertion:23 ObjectPropertyRange:28 AsymmetricObjectProperty:23 EquivalentObjectProperties:36 ObjectPropertyDomain:28 DisjointClasses:24 DataPropertyDomain:5 Declaration:610 FunctionalDataProperty:4 InverseObjectProperties:70 DifferentIndividuals:2 IrrefexiveObjectProperty:25 ,758,0,2.76216E+15,4,OntologyMetricsGathering,EquivalentClasses TransitiveObjectProperty FunctionalObjectProperty SubObjectPropertyOf SubPropertyChainOf SubDataPropertyOf DataPropertyRange SubClassOf ClassAssertion ObjectPropertyRange AsymmetricObjectProperty EquivalentObjectProperties ObjectPropertyDomain DisjointClasses DataPropertyDomain Declaration FunctionalDataProperty InverseObjectProperties DifferentIndividuals IrrefexiveObjectProperty ,EquivalentClasses:66 TransitiveObjectProperty:6 FunctionalObjectProperty:3 SubObjectPropertyOf:114 SubPropertyChainOf:11 SubDataPropertyOf:4 DataPropertyRange:5 SubClassOf:595 ClassAssertion:23 ObjectPropertyRange:28 AsymmetricObjectProperty:23 EquivalentObjectProperties:36 ObjectPropertyDomain:28 DisjointClasses:24 DataPropertyDomain:5 Declaration:610 FunctionalDataProperty:4 InverseObjectProperties:70 DifferentIndividuals:2 IrrefexiveObjectProperty:25 ,0,489,Q R S D I O ,20000000,25,null,
